id,type,severity,affected_trains,affected_stations,start_time,estimated_end_time,description,impact_level
D001,delay,low,"[""T007""]","[""S004""]",2025-09-10T23:47:22.974190,2025-09-11T01:51:22.974190,Mechanical issue causing delays at Main Station,minor
D002,maintenance,medium,"[""T001"", ""T013"", ""T005""]","[""S001""]",2025-09-10T23:15:22.974259,2025-09-11T01:42:22.974259,Scheduled maintenance work at Interchange Point,minor
D003,delay,low,"[""T001""]","[""S010"", ""S007""]",2025-09-10T22:48:22.974302,2025-09-11T00:50:22.974302,Mechanical issue causing delays at South Junction,minor
D004,track_closure,critical,"[""T012"", ""T006""]","[""S010""]",2025-09-10T23:22:22.974340,2025-09-11T00:11:22.974340,Track closure at Central Station for emergency repairs,major
D005,track_closure,high,"[""T009"", ""T005"", ""T012""]","[""S010""]",2025-09-10T23:55:22.974379,2025-09-11T01:25:22.974379,Track closure at Central Station for emergency repairs,major
D006,cancellation,medium,"[""T015""]","[""S009""]",2025-09-10T23:25:22.974411,2025-09-11T01:02:22.974411,Service cancellation due to equipment failure,minor
D007,track_closure,critical,"[""T010"", ""T004""]","[""S004""]",2025-09-11T00:09:22.974450,2025-09-11T00:39:22.974450,Track closure at Main Station for emergency repairs,major
D008,track_closure,critical,"[""T001"", ""T009""]","[""S008""]",2025-09-10T22:42:22.974486,2025-09-11T00:39:22.974486,Track closure at Express Terminal for emergency repairs,major
D009,cancellation,medium,"[""T009"", ""T010""]","[""S005"", ""S002""]",2025-09-10T23:41:22.974523,2025-09-11T01:32:22.974523,Service cancellation due to equipment failure,minor
D010,delay,medium,"[""T004"", ""T003"", ""T007""]","[""S003"", ""S005""]",2025-09-10T22:31:22.974559,2025-09-11T01:30:22.974559,Mechanical issue causing delays at Central Station,minor
D011,signal_failure,high,"[""T014"", ""T013"", ""T007""]","[""S006""]",2025-09-10T23:09:22.974596,2025-09-10T23:42:22.974596,Signal system failure affecting Interchange Point,major
D012,weather,high,"[""T015""]","[""S004""]",2025-09-10T22:33:22.974631,2025-09-10T23:31:22.974631,Weather-related delays affecting multiple services,moderate
