id,name,route,departure_time,arrival_time,status,priority,capacity,current_station,delay_minutes,train_type,operator
T001,High-Speed B,Metro Center-Commuter Hub,2025-09-11T04:25:22.911374,2025-09-11T05:09:22.911374,scheduled,2,251,,0,High-Speed,RailOptima Express
T002,Regional D,Transit Point-Main Station,2025-09-11T04:13:22.911374,2025-09-11T07:06:22.911374,arrived,3,275,,19,Regional,Freight Lines
T003,Commuter B,Metro Center-Regional Station,2025-09-11T03:04:22.911374,2025-09-11T05:03:22.911374,arrived,3,185,S016,0,Commuter,Regional Transit
T004,Commuter D,Transit Point-Metro Center,2025-09-11T03:54:22.911374,2025-09-11T04:28:22.911374,departed,2,216,,0,Commuter,RailOptima Express
T005,High-Speed D,Regional Station-Interchange Point,2025-09-11T02:57:22.911374,2025-09-11T03:44:22.911374,scheduled,3,191,,30,High-Speed,Metro Rail
T006,Local D,Transit Point-Express Terminal,2025-09-11T01:42:22.911374,2025-09-11T03:43:22.911374,arrived,3,85,,0,Local,RailOptima Express
T007,Freight 5581,Main Station-Express Terminal,2025-09-11T02:28:22.911374,2025-09-11T03:16:22.911374,arrived,4,61,,0,Freight,Regional Transit
T008,Express Gamma,Express Terminal-Metro Center,2025-09-11T01:53:22.911374,2025-09-11T02:28:22.911374,departed,2,292,S019,0,Express,City Commuter
T009,Freight 4616,West Hub-City Center,2025-09-11T04:25:22.911374,2025-09-11T07:12:22.911374,arrived,3,68,S002,0,Freight,RailOptima Express
T010,Commuter C,Regional Station-North Terminal,2025-09-11T01:38:22.911374,2025-09-11T02:24:22.911374,boarding,3,127,S004,0,Commuter,Freight Lines
T011,Local A,City Center-North Terminal,2025-09-11T02:59:22.911374,2025-09-11T04:08:22.911374,boarding,2,218,,0,Local,Metro Rail
T012,Regional A,Commuter Hub-Regional Station,2025-09-11T01:28:22.911374,2025-09-11T02:04:22.911374,arrived,2,185,,0,Regional,Freight Lines
T013,High-Speed A,Metro Center-City Center,2025-09-11T03:40:22.911374,2025-09-11T05:07:22.911374,boarding,2,272,S016,14,High-Speed,Freight Lines
T014,Commuter D,West Hub-North Terminal,2025-09-11T02:06:22.911374,2025-09-11T04:42:22.911374,arrived,3,131,S002,0,Commuter,Metro Rail
T015,Freight 9709,Regional Station-Metro Center,2025-09-11T03:04:22.911374,2025-09-11T05:32:22.911374,arrived,4,96,,0,Freight,RailOptima Express
T016,Local C,East Gate-Metro Center,2025-09-11T01:31:22.911374,2025-09-11T03:24:22.911374,arrived,2,276,S005,0,Local,Freight Lines
T017,Local C,West Hub-City Center,2025-09-11T01:30:22.911374,2025-09-11T02:48:22.911374,boarding,2,51,,19,Local,Freight Lines
T018,Freight 7497,Transit Point-Metro Center,2025-09-11T02:19:22.911374,2025-09-11T02:57:22.911374,scheduled,4,90,S010,0,Freight,RailOptima Express
T019,Regional D,Express Terminal-Interchange Point,2025-09-11T03:01:22.911374,2025-09-11T05:11:22.911374,arrived,2,286,,20,Regional,Regional Transit
T020,Express Alpha,Metro Center-East Gate,2025-09-11T03:17:22.911374,2025-09-11T05:16:22.911374,scheduled,1,214,,0,Express,Metro Rail
T021,Regional A,East Gate-City Center,2025-09-11T02:41:22.911374,2025-09-11T03:55:22.911374,boarding,2,72,S005,0,Regional,Metro Rail
T022,Commuter D,Transit Point-Regional Station,2025-09-11T02:04:22.911374,2025-09-11T04:09:22.911374,departed,3,57,,0,Commuter,Freight Lines
T023,Commuter D,Express Terminal-West Hub,2025-09-11T03:05:22.911374,2025-09-11T04:20:22.911374,departed,2,170,,0,Commuter,Metro Rail
T024,Freight 7254,Regional Station-East Gate,2025-09-11T03:05:22.911374,2025-09-11T04:21:22.911374,arrived,3,91,,0,Freight,RailOptima Express
